Date,Subject,RootDirectory,Directory,Tag,StimulusSuite,Weight,Chamber,Rig,Electrode,Lens,oe2dat,StimulusProtocols,SpikeSorting,LfpPhaseCorrection,numChannels,numUnits,ElectrodeManufacturer,ImportFun,Eyetracker,numSingleUnit,GratingSubspace,shank,retx,rety,retc1,retc2,retc4,deadChan
10_2_19,Ellie,PSA,Ellie_2019-10-02_14-29-32_64MTD8,ellie_20191002,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10_7_19,Ellie,PSA,Ellie_2019-10-07_09-24-20_64MTD13,ellie_20191007,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10_26_19,Ellie,PSA,Ellie_2019-10-26_09-13-38_Shannarig,ellie_20191027,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10_28_19,Ellie,PSA,Ellie_2019-10-27_11-34-40_Shannarig,ellie_20191122,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11_22_19,Ellie,PSA,Ellie_2019-11-22_10-05-39_neuronexus_D9,ellie_20191126,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11_26_19,Ellie,PSA,Ellie_2019-11-26_10-35-02_neuronexus_D14,ellie_20191126,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11_27_19,Ellie,PSA,Ellie_2019-11-27_10-35-34_neuronexus_D15,ellie_20191127,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12_10_19,Ellie,PSA,Ellie_2019-12-10_10-52-59_neuronexus_D9b,ellie_20191210,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12_11_19,Ellie,PSA,Ellie_2019-12-11_12-18-37_neuronexus_D10,ellie_20191211,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12_18_19,Ellie,PSA,Ellie_2019-12-18_10-57-26_neuronexus_D16,ellie_20191218,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
